device_code,Auto filled link for health check ,timezone,MP type
300176-107,"""https://us.dunkindonuts.switchboardcms.com/device/300176-107/screenshot/"",",America/New_York,ODMB
300176-108,"""https://us.dunkindonuts.switchboardcms.com/device/300176-108/screenshot/"",",America/New_York,ODMB
300204-31,"""https://us.dunkindonuts.switchboardcms.com/device/300204-31/screenshot/"",",America/New_York,DD FC
300204-32,"""https://us.dunkindonuts.switchboardcms.com/device/300204-32/screenshot/"",",America/New_York,DD FC
300204-33,"""https://us.dunkindonuts.switchboardcms.com/device/300204-33/screenshot/"",",America/New_York,DD FC
300204-34,"""https://us.dunkindonuts.switchboardcms.com/device/300204-34/screenshot/"",",America/New_York,DD FC
300205-31,"""https://us.dunkindonuts.switchboardcms.com/device/300205-31/screenshot/"",",America/New_York,DD FC
300205-32,"""https://us.dunkindonuts.switchboardcms.com/device/300205-32/screenshot/"",",America/New_York,DD FC
300205-33,"""https://us.dunkindonuts.switchboardcms.com/device/300205-33/screenshot/"",",America/New_York,DD FC
300205-34,"""https://us.dunkindonuts.switchboardcms.com/device/300205-34/screenshot/"",",America/New_York,DD FC
300208-107,"""https://us.dunkindonuts.switchboardcms.com/device/300208-107/screenshot/"",",America/New_York,ODMB
300208-108,"""https://us.dunkindonuts.switchboardcms.com/device/300208-108/screenshot/"",",America/New_York,ODMB
300208-31,"""https://us.dunkindonuts.switchboardcms.com/device/300208-31/screenshot/"",",America/New_York,DD FC
300208-32,"""https://us.dunkindonuts.switchboardcms.com/device/300208-32/screenshot/"",",America/New_York,DD FC
300208-33,"""https://us.dunkindonuts.switchboardcms.com/device/300208-33/screenshot/"",",America/New_York,DD FC
300208-34,"""https://us.dunkindonuts.switchboardcms.com/device/300208-34/screenshot/"",",America/New_York,DD FC
300215-107,"""https://us.dunkindonuts.switchboardcms.com/device/300215-107/screenshot/"",",America/New_York,ODMB
300215-108,"""https://us.dunkindonuts.switchboardcms.com/device/300215-108/screenshot/"",",America/New_York,ODMB
300221-31,"""https://us.dunkindonuts.switchboardcms.com/device/300221-31/screenshot/"",",America/New_York,DD FC
300221-32,"""https://us.dunkindonuts.switchboardcms.com/device/300221-32/screenshot/"",",America/New_York,DD FC
300221-33,"""https://us.dunkindonuts.switchboardcms.com/device/300221-33/screenshot/"",",America/New_York,DD FC
300221-34,"""https://us.dunkindonuts.switchboardcms.com/device/300221-34/screenshot/"",",America/New_York,DD FC
300236-107,"""https://us.dunkindonuts.switchboardcms.com/device/300236-107/screenshot/"",",America/New_York,ODMB
300236-108,"""https://us.dunkindonuts.switchboardcms.com/device/300236-108/screenshot/"",",America/New_York,ODMB
300236-31,"""https://us.dunkindonuts.switchboardcms.com/device/300236-31/screenshot/"",",America/New_York,DD FC
300236-32,"""https://us.dunkindonuts.switchboardcms.com/device/300236-32/screenshot/"",",America/New_York,DD FC
300236-33,"""https://us.dunkindonuts.switchboardcms.com/device/300236-33/screenshot/"",",America/New_York,DD FC
300236-34,"""https://us.dunkindonuts.switchboardcms.com/device/300236-34/screenshot/"",",America/New_York,DD FC
300240-31,"""https://us.dunkindonuts.switchboardcms.com/device/300240-31/screenshot/"",",America/New_York,DD FC
300240-32,"""https://us.dunkindonuts.switchboardcms.com/device/300240-32/screenshot/"",",America/New_York,DD FC
300240-33,"""https://us.dunkindonuts.switchboardcms.com/device/300240-33/screenshot/"",",America/New_York,DD FC
300240-34,"""https://us.dunkindonuts.switchboardcms.com/device/300240-34/screenshot/"",",America/New_York,DD FC
300245-31,"""https://us.dunkindonuts.switchboardcms.com/device/300245-31/screenshot/"",",America/New_York,DD FC
300245-32,"""https://us.dunkindonuts.switchboardcms.com/device/300245-32/screenshot/"",",America/New_York,DD FC
300245-33,"""https://us.dunkindonuts.switchboardcms.com/device/300245-33/screenshot/"",",America/New_York,DD FC
300245-34,"""https://us.dunkindonuts.switchboardcms.com/device/300245-34/screenshot/"",",America/New_York,DD FC
300247-107,"""https://us.dunkindonuts.switchboardcms.com/device/300247-107/screenshot/"",",America/New_York,ODMB
300247-108,"""https://us.dunkindonuts.switchboardcms.com/device/300247-108/screenshot/"",",America/New_York,ODMB
300247-31,"""https://us.dunkindonuts.switchboardcms.com/device/300247-31/screenshot/"",",America/New_York,DD FC
300247-32,"""https://us.dunkindonuts.switchboardcms.com/device/300247-32/screenshot/"",",America/New_York,DD FC
300247-33,"""https://us.dunkindonuts.switchboardcms.com/device/300247-33/screenshot/"",",America/New_York,DD FC
300247-34,"""https://us.dunkindonuts.switchboardcms.com/device/300247-34/screenshot/"",",America/New_York,DD FC
300252-31,"""https://us.dunkindonuts.switchboardcms.com/device/300252-31/screenshot/"",",America/New_York,DD FC
300252-32,"""https://us.dunkindonuts.switchboardcms.com/device/300252-32/screenshot/"",",America/New_York,DD FC
300252-33,"""https://us.dunkindonuts.switchboardcms.com/device/300252-33/screenshot/"",",America/New_York,DD FC
300252-34,"""https://us.dunkindonuts.switchboardcms.com/device/300252-34/screenshot/"",",America/New_York,DD FC
300254-31,"""https://us.dunkindonuts.switchboardcms.com/device/300254-31/screenshot/"",",America/New_York,DD FC
300254-32,"""https://us.dunkindonuts.switchboardcms.com/device/300254-32/screenshot/"",",America/New_York,DD FC
300254-33,"""https://us.dunkindonuts.switchboardcms.com/device/300254-33/screenshot/"",",America/New_York,DD FC
300254-34,"""https://us.dunkindonuts.switchboardcms.com/device/300254-34/screenshot/"",",America/New_York,DD FC
300261-107,"""https://us.dunkindonuts.switchboardcms.com/device/300261-107/screenshot/"",",America/New_York,ODMB
300261-108,"""https://us.dunkindonuts.switchboardcms.com/device/300261-108/screenshot/"",",America/New_York,ODMB
300264-107,"""https://us.dunkindonuts.switchboardcms.com/device/300264-107/screenshot/"",",America/New_York,ODMB
300264-108,"""https://us.dunkindonuts.switchboardcms.com/device/300264-108/screenshot/"",",America/New_York,ODMB
300264-31,"""https://us.dunkindonuts.switchboardcms.com/device/300264-31/screenshot/"",",America/New_York,DD FC
300264-32,"""https://us.dunkindonuts.switchboardcms.com/device/300264-32/screenshot/"",",America/New_York,DD FC
300264-33,"""https://us.dunkindonuts.switchboardcms.com/device/300264-33/screenshot/"",",America/New_York,DD FC
300264-34,"""https://us.dunkindonuts.switchboardcms.com/device/300264-34/screenshot/"",",America/New_York,DD FC
300268-107,"""https://us.dunkindonuts.switchboardcms.com/device/300268-107/screenshot/"",",America/New_York,ODMB
300268-108,"""https://us.dunkindonuts.switchboardcms.com/device/300268-108/screenshot/"",",America/New_York,ODMB
300270-107,"""https://us.dunkindonuts.switchboardcms.com/device/300270-107/screenshot/"",",America/New_York,ODMB
300270-108,"""https://us.dunkindonuts.switchboardcms.com/device/300270-108/screenshot/"",",America/New_York,ODMB
300270-117,"""https://us.dunkindonuts.switchboardcms.com/device/300270-117/screenshot/"",",America/New_York,Presell
300270-31,"""https://us.dunkindonuts.switchboardcms.com/device/300270-31/screenshot/"",",America/New_York,DD FC
300270-32,"""https://us.dunkindonuts.switchboardcms.com/device/300270-32/screenshot/"",",America/New_York,DD FC
300270-33,"""https://us.dunkindonuts.switchboardcms.com/device/300270-33/screenshot/"",",America/New_York,DD FC
300270-34,"""https://us.dunkindonuts.switchboardcms.com/device/300270-34/screenshot/"",",America/New_York,DD FC
300277-31,"""https://us.dunkindonuts.switchboardcms.com/device/300277-31/screenshot/"",",America/New_York,DD FC
300277-32,"""https://us.dunkindonuts.switchboardcms.com/device/300277-32/screenshot/"",",America/New_York,DD FC
300277-33,"""https://us.dunkindonuts.switchboardcms.com/device/300277-33/screenshot/"",",America/New_York,DD FC
300277-34,"""https://us.dunkindonuts.switchboardcms.com/device/300277-34/screenshot/"",",America/New_York,DD FC
300286-107,"""https://us.dunkindonuts.switchboardcms.com/device/300286-107/screenshot/"",",America/New_York,ODMB
300286-108,"""https://us.dunkindonuts.switchboardcms.com/device/300286-108/screenshot/"",",America/New_York,ODMB
300286-31,"""https://us.dunkindonuts.switchboardcms.com/device/300286-31/screenshot/"",",America/New_York,DD FC
300286-32,"""https://us.dunkindonuts.switchboardcms.com/device/300286-32/screenshot/"",",America/New_York,DD FC
300286-33,"""https://us.dunkindonuts.switchboardcms.com/device/300286-33/screenshot/"",",America/New_York,DD FC
